DISH_TYPE_TAG,ITEMS_SOLD
Sandwich,18723522
Meat,9756169
Other Dishes,9061130
Chicken,8110191
Poultry,8110191
Burger,7701279
Fries,4320735
Burrito,4046352
Taco,3672966
Chicken Nuggets,3639223
Pizza,3347704
Bread,2387542
Chicken Wings,1885990
Pastry,1878777
Rice,1709296
Noodles,1701008
Sushi,1649600
Chips,1301281
Cookie,1206324
Chicken Tenders,1173440
Wraps,1136512
Vegetables,1127452
Dip,1098833
Dumplings,993286
Quesadilla,991904
Ice Cream,952562
Hash Browns,951569
Donut,870873
Soup,865115
Cake,805100
Beef,679608
Curry,595406
Fried Rice,571049
Pasta,559477
Egg Roll,513217
Breakfast Burrito,500434
Steak,469749
Potato,469056
Flatbread,451521
Spring Roll,416587
Nachos,399653
Cheesesteak,396111
Cheese Sticks,373762
Eggs,363694
Bagel,349890
Crab Rangoons,325126
Pancake,304021
Brownie,300477
Salad,270484
Fried Chicken,267572
Rice Bowl,266155
Pie,260401
Hot Dog,248309
Ramen,231089
Cheesecake,221620
Croissant,216503
Green Salad,214386
Beans,213013
Pho,210915
Macaroni and Cheese,196994
Macaroni,196994
Onion Rings,194089
Poke,183758
Fruit,176653
Pad Thai,175714
Tater Tots,175587
Lo Mein,174185
Bacon,171626
Gyoza,167458
Stew,166881
Pork,166151
French Toast,163659
Smoothie Bowl,163037
Acai Bowl,163037
Naan,162987
Gyro,155791
Enchilada,155211
Pretzel,152993
Empanada,151836
Kebab,135762
Muffin,134535
Miso Soup,129329
Apple Pie,123512
BLT,119911
Wonton,109423
Mashed Potatoes,108913
Caesar Salad,107456
Biryani,106558
Chili,104735
Fajita,103457
Pupusa,101599
Wonton Soup,101177
Waffle,96439
Cheese Curds,91548
Jalapeno Poppers,80734
Kolach,66614
Crepe,57958
Oatmeal,57690
Custard,56159
Spam Musubi,54364
Tempura,52068
Samosa,49929
